Date,Open,High,Low,Close,Adj Close,Volume
"May 31, 2022",4.94,5.07,4.91,5.03,4.38,"30,234,000"
"May 30, 2022",5.02,5.1,4.96,4.98,4.34,"3,118,100"
"May 27, 2022",5.05,5.09,4.99,5.05,4.4,"3,956,600"
"May 26, 2022",5.05,5.08,4.91,5.01,4.37,"5,112,500"
"May 25, 2022",4.97,5.09,4.97,5.07,4.42,"3,665,800"
"May 24, 2022",5.1,5.1,4.97,5.02,4.38,"5,528,000"
"May 23, 2022",5.19,5.19,5,5.02,4.38,"8,737,000"
"May 20, 2022",5.23,5.25,5.1,5.18,4.52,"5,869,800"
"May 19, 2022",5.2,5.29,5.19,5.23,4.56,"7,994,200"
"May 18, 2022",5.24,5.3,5.18,5.22,4.55,"5,530,700"
"May 17, 2022",5.15,5.25,5.13,5.24,4.57,"10,730,300"
"May 13, 2022",5.1,5.18,5.05,5.12,4.46,"12,998,800"
"May 12, 2022",5.04,5.15,4.86,4.9,4.27,"7,534,600"
"May 11, 2022",4.9,5.01,4.9,4.99,4.35,"9,441,800"
"May 10, 2022",4.88,4.96,4.78,4.9,4.27,"13,654,000"
"May 9, 2022",5.09,5.09,4.89,4.92,4.29,"10,273,700"
"May 6, 2022",5.19,5.29,5.09,5.09,4.44,"6,277,800"
"May 5, 2022",5.27,5.36,5.22,5.27,4.59,"5,701,400"
"Apr 29, 2022",5.29,5.29,5.17,5.24,4.57,"6,539,800"
"Apr 28, 2022",5.27,5.3,5.2,5.23,4.56,"6,587,900"
"Apr 27, 2022",0.1238,,,,,
"Apr 27, 2022",5.12,5.24,5.09,5.2,4.53,"5,070,700"
"Apr 26, 2022",5.37,5.43,5.11,5.25,4.47,"14,392,100"
"Apr 25, 2022",5.35,5.46,5.34,5.34,4.55,"25,053,300"
"Apr 22, 2022",5.27,5.27,5.2,5.25,4.47,"5,807,600"
"Apr 21, 2022",5.34,5.37,5.23,5.25,4.47,"6,063,900"
"Apr 20, 2022",5.17,5.35,5.16,5.34,4.55,"18,019,800"
"Apr 18, 2022",5.09,5.2,5.06,5.15,4.38,"8,995,200"
"Apr 15, 2022",5.3,5.37,4.97,5.07,4.32,"11,928,600"
"Apr 14, 2022",5.36,5.42,5.3,5.3,4.51,"8,576,500"
"Apr 13, 2022",5.3,5.35,5.27,5.3,4.51,"12,439,900"
"Apr 12, 2022",5.3,5.31,5.25,5.26,4.48,"7,994,600"
"Apr 11, 2022",5.25,5.43,5.25,5.3,4.51,"7,284,300"
"Apr 8, 2022",5.25,5.29,5.22,5.25,4.47,"2,746,800"
"Apr 7, 2022",5.28,5.35,5.25,5.25,4.47,"9,364,600"
"Apr 6, 2022",5.12,5.29,5.12,5.27,4.49,"6,296,600"
"Apr 5, 2022",5.11,5.18,5.05,5.13,4.37,"3,440,500"
"Apr 4, 2022",4.93,5.1,4.9,5.08,4.32,"3,159,200"
"Apr 1, 2022",4.95,5.08,4.91,4.95,4.21,"2,650,400"
"Mar 31, 2022",5.03,5.03,4.91,4.97,4.23,"5,772,200"
"Mar 30, 2022",5.01,5.05,4.96,5,4.26,"1,803,600"
"Mar 29, 2022",5.06,5.06,4.98,5.01,4.26,"4,494,300"
"Mar 28, 2022",5.09,5.11,4.99,5.05,4.3,"1,636,300"
"Mar 25, 2022",5.08,5.18,5.01,5.14,4.38,"5,553,400"
"Mar 24, 2022",5,5.08,4.97,5.05,4.3,"8,298,200"
"Mar 23, 2022",5.07,5.13,5.04,5.05,4.3,"10,814,000"
"Mar 22, 2022",4.99,5.21,4.99,5.07,4.32,"9,535,600"
"Mar 21, 2022",4.94,5,4.94,4.98,4.24,"1,865,400"
"Mar 18, 2022",4.9,5.02,4.88,4.98,4.24,"9,714,800"
"Mar 17, 2022",4.99,5.05,4.85,4.9,4.17,"7,038,800"
"Mar 16, 2022",4.95,5.08,4.93,4.98,4.24,"5,060,200"
"Mar 15, 2022",4.96,5.05,4.87,4.95,4.21,"2,891,000"
"Mar 14, 2022",5.15,5.15,5,5.05,4.3,"4,177,600"
"Mar 11, 2022",5.18,5.19,5.13,5.17,4.4,"7,203,400"
"Mar 10, 2022",5.28,5.28,5.09,5.18,4.41,"14,534,600"
"Mar 9, 2022",5.05,5.37,4.93,5.3,4.51,"19,876,900"
"Mar 8, 2022",5.1,5.14,4.84,5.05,4.3,"10,454,700"
"Mar 7, 2022",5.1,5.23,5.01,5.11,4.35,"16,264,400"
"Mar 4, 2022",5.27,5.29,5.08,5.1,4.34,"10,724,100"
"Mar 3, 2022",5.25,5.36,5.16,5.26,4.48,"23,520,200"
"Mar 2, 2022",4.94,5.27,4.94,5.22,4.44,"26,094,500"
"Mar 1, 2022",4.9,4.98,4.85,4.91,4.18,"6,508,100"
"Feb 28, 2022",4.83,5.09,4.78,4.91,4.18,"15,880,400"
"Feb 25, 2022",4.84,4.88,4.74,4.78,4.07,"6,056,300"
"Feb 24, 2022",4.66,4.9,4.63,4.8,4.09,"10,388,800"
"Feb 23, 2022",4.6,4.78,4.58,4.65,3.96,"9,143,300"
"Feb 22, 2022",4.61,4.71,4.52,4.65,3.96,"8,007,800"
"Feb 21, 2022",4.89,4.93,4.53,4.58,3.9,"9,098,000"
"Feb 18, 2022",4.91,4.98,4.81,4.9,4.17,"16,503,000"
"Feb 17, 2022",4.7,4.93,4.68,4.91,4.18,"27,767,200"
"Feb 16, 2022",4.69,4.69,4.48,4.64,3.95,"14,856,800"
"Feb 15, 2022",4.24,4.71,4.24,4.69,3.99,"31,084,600"
"Feb 14, 2022",4.24,4.26,4.14,4.24,3.61,"11,915,200"
"Feb 11, 2022",3.88,4.3,3.83,4.23,3.6,"20,985,800"
"Feb 10, 2022",3.66,3.92,3.66,3.92,3.34,"8,995,000"
"Feb 9, 2022",3.59,3.7,3.58,3.66,3.12,"4,435,800"
"Feb 8, 2022",3.58,3.59,3.54,3.57,3.04,"4,334,500"
"Feb 7, 2022",3.55,3.6,3.53,3.57,3.04,"4,220,700"
"Feb 4, 2022",3.55,3.56,3.51,3.52,3,"2,083,400"
"Feb 3, 2022",3.55,3.63,3.51,3.56,3.03,"6,419,000"
"Jan 31, 2022",3.73,3.81,3.53,3.53,3,"5,891,200"
"Jan 28, 2022",3.79,3.85,3.79,3.83,3.26,"241,600"
"Jan 27, 2022",3.82,3.83,3.76,3.8,3.23,"1,083,700"
"Jan 26, 2022",3.9,3.92,3.82,3.82,3.25,"1,598,100"
"Jan 25, 2022",3.93,3.98,3.86,3.88,3.3,"1,974,600"
"Jan 24, 2022",3.95,4.01,3.91,4,3.4,"1,086,300"
"Jan 21, 2022",3.96,4.02,3.95,3.97,3.38,"756,400"
"Jan 20, 2022",4,4.02,3.94,3.98,3.39,"3,773,300"
"Jan 19, 2022",3.95,4.03,3.9,3.98,3.39,"1,267,700"
"Jan 17, 2022",4.07,4.07,3.95,3.97,3.38,"1,331,600"
"Jan 14, 2022",4.02,4.07,3.99,4.07,3.46,"828,700"
"Jan 13, 2022",3.94,4.08,3.94,4.04,3.44,"1,956,700"
"Jan 12, 2022",4.02,4.03,3.92,3.96,3.37,"1,838,900"
"Jan 11, 2022",4.01,4.04,3.95,4.03,3.43,"1,680,600"
